Year,Month,Day,Hour,CH,TH,TS,SA,ZH,PE,MO
2013,1,1,0,0,0.4013645,0,0,0,0,0
2013,1,1,1,0,0.3870095,0,0,0,0,0
2013,1,1,2,0,0.3905745,0,0,0,0,0
2013,1,1,3,0,0.367338,0,0,0,0,0
2013,1,1,4,0,0.44704,0,0,0,0,0
2013,1,1,5,0,0.54912,0,0,0,0,0
2013,1,1,6,0,0.60035,0,0,0,0,0
2013,1,1,7,0,0.64524,0,0,0,0,0
2013,1,1,8,0,0.65548,0,0,0,0,0
2013,1,1,9,0,0.655045,0,0,0,0,0
2013,1,1,10,0,0.600885,0,0,0,0,0
2013,1,1,11,0,0.52104,0,0,0,0,0
2013,1,1,12,0,0.4111365,0,0,0,0,0
2013,1,1,13,0,0.430308,0,0,0,0,0
2013,1,1,14,0,0.420555,0,0,0,0,0
2013,1,1,15,0,0.411604,0,0,0,0,0
2013,1,1,16,0,0.392891,0,0,0,0,0
2013,1,1,17,0,0.4068635,0,0,0,0,0
2013,1,1,18,0,0.416678,0,0,0,0,0
2013,1,1,19,0,0.4263075,0,0,0,0,0
2013,1,1,20,0,0.3929005,0,0,0,0,0
2013,1,1,21,0,0.388591,0,0,0,0,0
2013,1,1,22,0,0.379235,0,0,0,0,0
2013,1,1,23,0,0.468518,0,0,0,0,0
2013,1,2,0,0,0.4479325,0,0,0,0,0
2013,1,2,1,0,0.4367815,0,0,0,0,0
2013,1,2,2,0,0.414037,0,0,0,0,0
2013,1,2,3,0,0.457577,0,0,0,0,0
2013,1,2,4,0,0.5839,0,0,0,0,0
2013,1,2,5,0,0.66425,0,0,0,0,0
2013,1,2,6,0,0.708105,0,0,0,0,0
2013,1,2,7,0,0.70376,0,0,0,0,0
2013,1,2,8,0,0.742155,0,0,0,0,0
2013,1,2,9,0,0.74682,0,0,0,0,0
2013,1,2,10,0,0.698715,0,0,0,0,0
2013,1,2,11,0,0.645075,0,0,0,0,0
2013,1,2,12,0,0.56547,0,0,0,0,0
2013,1,2,13,0,0.56331,0,0,0,0,0
2013,1,2,14,0,0.56182,0,0,0,0,0
2013,1,2,15,0,0.5202,0,0,0,0,0
2013,1,2,16,0,0.462495,0,0,0,0,0
2013,1,2,17,0,0.481963,0,0,0,0,0
2013,1,2,18,0,0.51057,0,0,0,0,0
2013,1,2,19,0,0.51196,0,0,0,0,0
2013,1,2,20,0,0.53343,0,0,0,0,0
2013,1,2,21,0,0.53408,0,0,0,0,0
2013,1,2,22,0,0.61716,0,0,0,0,0
2013,1,2,23,0,0.616305,0,0,0,0,0
2013,1,3,0,0,0.53012,0,0,0,0,0
2013,1,3,1,0,0.5034,0,0,0,0,0
2013,1,3,2,0,0.4769225,0,0,0,0,0
2013,1,3,3,0,0.575965,0,0,0,0,0
2013,1,3,4,0,0.659255,0,0,0,0,0
2013,1,3,5,0,0.734575,0,0,0,0,0
2013,1,3,6,0,0.77166,0,0,0,0,0
2013,1,3,7,0,0.782015,0,0,0,0,0
2013,1,3,8,0,0.782285,0,0,0,0,0
